Open,High,Low,Last,Close,Total Trade Quantity
208,222.25,206.85,216,215.15,4642146
217,218.6,205.9,210.25,209.2,3519515
223.5,227.8,216.15,217.25,218.2,1728786
230,237.5,225.75,226.45,227.6,1708590
234.55,234.6,221.05,230.3,230.9,1534749
234.05,235.95,230.2,233.5,233.75,3069914
234.55,236.8,231.1,233.8,233.25,5082859
240,240,232.5,235,234.25,2240909
233.3,236.75,232,236.25,236.1,2349368
233.55,239.2,230.75,234,233.3,3423509
235,237,227.95,233.75,234.6,5395319
235.95,237.2,233.45,234.6,234.9,1362058
237.9,239.25,233.5,235.5,235.05,2614794
233.15,238,230.25,236.4,236.6,3170894
223.45,236.7,223.3,234,233.95,6377909
216.35,223.7,212.65,221.65,222.65,4570939
222.5,225.4,214.85,216.35,216,3508990
222.5,235.15,220.65,221.05,222,7514106
221,224.5,219.1,223.15,222.95,1232507
224,225,218.2,220.95,221.05,1738824
222,224.6,215.2,222.1,222.4,3023097
238.2,238.2,222.6,223.45,223.7,3554859
236,243.55,235.05,236.85,236.7,5242852
237,239.75,232.95,234.65,234.3,3353833
235.35,237.3,232.1,237.3,236,1921327
233.85,237.7,232.7,234.2,234.55,1394661
237,239.3,231.3,232.9,233.35,2374782
231.8,239.35,231.05,236.8,237.05,1990020
234.5,237.2,230.2,231.5,231,1838417
240.3,240.6,233.1,235.5,235.45,1553953
246.9,246.9,239.25,240.9,240.55,3272005
244,247,243,244.7,245.15,1690225
240.8,244.5,239.2,242.7,243,2838238
236.05,242,235.95,240.35,239.35,2551480
235,238.5,235,237.4,237.55,1885288
233,236.45,232.25,235.2,234.55,1948583
237.3,237.95,231.1,233.65,233.55,2035594
236.65,239.85,235.3,237.25,237.3,1127248
237.25,240.5,235.05,236.35,236.35,1807313
241,241.55,235.3,237.5,237.6,1963538
235.15,240.45,234.15,240,239.5,2560616
236,239,232,235.2,234.65,3357945
232.5,238.05,230.4,235,235.45,5700851
248.7,254.95,234.35,235.1,235.65,13272609
243.4,249.65,241.5,247.1,246.9,4422342
243.7,247,240.9,243.65,242.2,1867720
241,243.95,239.15,242.5,242.25,1581985
235.9,242.95,234.5,239.5,239.1,3996921
248.5,248.5,235.8,236.05,236.9,2310430
244,249.2,241.9,246.3,246.3,2278457
238.9,244.25,235.25,243.05,243.3,2351769
231.25,240.95,231.25,238.9,238.6,3003282
239.7,243.3,228.6,232.5,233.1,4223216
248.4,249.6,232.7,238.1,238.65,3343525
241.55,251.85,240.3,247.5,247.9,3158004
257.9,257.9,242.1,243.9,243.25,3454849
265,265.75,257.55,258.3,258.9,3357333
270.4,272.45,264.35,264.5,265.2,2250217
274.8,275.45,267.45,270,269.8,1407688
275.9,277.8,272.55,274.55,274.75,1284523
268.25,276.2,267,275.3,275.25,2267486
269.8,273.25,265.7,266.2,266.3,2022333
277.45,282.4,270,271.8,271.25,2338411
281,281,275.35,277.7,277.3,3598212
264.5,284.5,262.7,280.1,281,6676660
271,273.1,263.25,264.5,264.45,3661633
262.7,270.15,262.7,269.2,269.35,2077927
263,268.25,261.45,265.05,263.95,4511203
265.1,268.4,261.2,263.15,265.6,2234204
264.8,269.7,263.3,264.6,267.35,2208389
260.1,266.95,260.1,264.55,264.5,2103452
257.9,263.55,256.45,261.95,262.1,2459832
258.05,262.35,255.5,258.15,258.2,3020580
263.7,264.75,257,260.55,260.85,3367252
274.65,274.65,266.05,267,267.05,6224725
271.55,276.85,269.15,274.9,275.35,1541522
279.15,281,271.45,272.2,272.15,3133233
269.8,278.75,268.2,278,277.8,3646744
267,270.5,265.35,270,269.6,1232644
262.75,268.4,262.75,267.2,267.6,1206633
265.6,271.25,262.7,263.25,263.7,3538690
263.7,269.35,263.55,266.7,266.95,1104173
266.9,269.7,263.3,267,267.1,1527128
262.75,266.7,260.35,265.55,265.75,2052017
255.5,264.7,254.8,264.2,263.75,4208120
265,265.4,253.5,255.5,255.25,1819147
269.7,269.7,258.55,265.1,263.25,2622839
267,272,260.7,269.05,269.2,3469905
254,266,253.2,265.7,264.5,4154146
257.4,262.7,257,257.9,257.5,2235734
254.7,262.2,254.65,260.7,260.65,2649349
252.2,259.4,252.2,258.5,257.85,2071496
251,255.5,247.3,255,254.5,2921253
246.5,252.35,245.55,250,250.2,4295785
244,251.1,244,247.6,247.15,3175432
244.1,248.35,240.55,244,243.55,3180360
248.3,248.95,243.35,245.1,244.7,3297714
243.5,249.3,242.5,247.5,247.5,7108750
240,245.6,237.25,241.4,241.1,6328483
256.45,259.5,240.75,242.45,242.65,9298329
280,281.35,251.85,257,255.9,16822847
284.4,290.5,284.4,287,287.5,1974327
292.95,293,283.45,284.15,285.25,1446384
289.6,294.35,288.6,292,292,1820409
296,296.2,287.25,289.5,289.7,1720983
288.8,295.5,287,295.05,294.2,1848551
287.05,291.5,282.3,287.9,287.8,1399442
292.75,292.75,283.1,286.45,286.65,2561225
297.4,300,289.4,293,292.75,1857277
293.9,298.5,292.05,297.85,297.55,3046154
293.45,294.4,291.05,291.4,292.1,1858644
292.5,293.65,288.75,291.2,291.2,4942803
283.05,291.25,282.05,289.1,289.1,4804882
283,288,281.8,283.7,283.15,2131466
287.7,287.8,282.65,283.2,283.6,1687369
285.95,288.8,283.65,286,286.3,2523492
286,288.65,283.6,285.55,286.2,2434183
282.3,287.45,279.25,285.35,284.1,4719061
282,285.25,277.5,280.6,280.95,5799262
274,280.2,272.55,279.4,279.65,3030999
274,277.35,271.75,275.7,275.5,2196800
273.9,277.8,271.65,273.9,273.85,2149205
276.1,276.35,271.5,273.85,273.85,1996390
280.2,280.7,274.1,275.8,275.5,2190930
275,281.65,273,276.75,277.8,4623765
274.8,275.65,271,272.7,272.7,1852060
274.55,277,271.5,273,273,2658707
276.7,279.05,269.55,270.15,270.25,3283985
276,277.55,271.7,275.3,274.8,2613360
259.35,278.4,259.35,277.45,276.95,6610831
261.25,264,257.5,259.15,258.75,2283408
264,265.75,260.75,264,263.8,3071911
258.05,263.5,253.7,263.45,262.2,2440719
251.05,258.9,250,258.2,257.9,2297852
264.65,264.65,257.6,259.1,258.85,1681596
265.3,266.3,262.15,262.9,263.2,1477158
259.7,263.65,255.1,263.3,262.05,2855717
272.6,273,258.35,260.65,260.6,3665423
280.8,282.7,271.05,272.55,272.4,2762357
278,284.4,277.25,279.55,279.6,2877987
275.25,281.25,275.25,279,278.5,2056369
278.05,281.3,273.2,278.2,278.2,3095190
270,276.65,269.7,276,276.05,2583575
275.9,275.9,266.6,268.5,268.35,1614381
270.5,274.2,265,273.15,273.4,2246589
272,274.45,265.15,268.9,268.9,4847214
276.7,283.1,271.45,272.5,274.15,6601857
274.8,276.95,270.55,276.6,275.65,4680138
275,277.35,274.1,275.45,274.85,2322191
273,277,272,275.4,275.5,2808234
275,279.7,273.1,275.4,275,4778178
273.55,274.8,271.55,274.8,273.5,3672359
264.2,271.9,263,271.2,270.7,3895920
265.95,269.9,261.1,262.9,262.15,5466484
265,268.85,262.2,266.5,266.6,3638163
268.7,274.2,261.65,263,262.85,5120799
277,277.05,263,269,267.95,2620461
280.25,282.75,274.2,275.5,275.6,1925414
284.35,285.25,276,279.85,279.05,1807307
287.95,289,280.9,281.5,281.95,2455660
282.4,289.6,279.7,284.25,285.1,4583181
271.1,279.8,271.1,278.65,278.25,3121544
282,286.5,276.1,280.4,280.45,5863983
270,284.4,270,279.65,280.15,8055761
259,270.3,253.25,266,266.7,7044561
265.1,276.9,255.15,275.5,273.1,6833906
284,285,260.25,274.6,274.85,6697007
290.25,294.9,278.6,289.55,288.35,4593306
302.9,303.7,286.1,291.15,290.65,5397599
300.95,307.3,299.45,304,304,2590100
305.25,306.8,300.7,301.3,301.8,1806919
304,311.25,301.65,305.3,304.25,3631793
306,310.7,302.8,303.7,304.25,2154759
310.7,310.7,304.05,307.7,307.2,4416130
307.05,314.95,306.6,309,308.85,3278437
306,310,300.95,309.9,308.35,3653286
315.05,315.75,301.4,304.5,305.45,3408593
313.85,317,307.55,314.05,313.55,3742677
323,326.9,311.45,317.6,316.4,4683847
327.7,328.75,321.65,323.7,323,4519030
315.05,328.35,315,325.95,325.75,14484043
314,316.7,311.8,313.1,313.3,3481728
315,319.1,312.55,314.25,314.1,2517494
317.6,319.65,314,314.7,315.3,2411068
314.65,319.2,312.2,317.45,317.6,2171903
312.3,315.85,310.35,312.85,312.95,1896601
312,313.5,307.25,312.3,312.25,2703849
311.9,315.15,310.15,310.95,311.2,2073353
314.3,314.95,307.55,310.7,311.15,2014415
317.75,317.8,311.8,313.45,312.9,1602814
308.05,318,306.35,316.05,316.4,6874520
306.5,309.3,303.55,306.8,306.6,4620000
305.5,308.8,302.5,305.65,305.55,3315278
303.7,307.7,300.55,305.5,305.95,3956481
301,306.35,299.7,302.8,302.75,4703911
302.25,303,298.15,300.2,300.15,2280137
301,303.8,297.75,302,300.85,4692403
292,301.45,291.7,300.7,300.65,8383608
280,293.95,275.1,291.6,290.85,5912782
289,289.95,286.15,287.1,286.85,3036814
288,288.25,279.2,284.5,284.3,5575066
290,292.5,282.2,284.8,284.45,6799578
298.6,298.6,286.65,287.45,287.8,6874578
290,299.55,285.9,297.85,298.35,8045275
287.55,289.9,285.05,288.05,288.45,4297335
276,284.85,275.65,284.8,284,3820082
278.9,282.95,273.6,275.3,274.95,4358618
279.4,283.75,278.15,280.4,279.95,4876970
285,286.5,276.4,280.3,279.05,5784862
288.45,293.6,282.6,284,283.55,7150041
278.9,292.2,277.55,288.1,287.1,9944314
287.3,290.65,278.3,279.05,280.2,6464166
277,289.8,276.5,287.2,287.75,11258640
277.5,278.4,274.3,277.75,277.45,2208868
275.05,280,275.05,277.2,278.7,3855810
273.15,276.95,270.5,276.25,274.8,3371088
273.5,275.85,267.75,275,274.05,5015906
275.9,280.75,271.15,273.5,273.15,12063135
261.15,276.25,259.25,275.15,274.9,13458563
252.25,260.8,250.8,258.95,259.9,6857865
254,254.65,247.2,251.25,251.95,6292626
237.9,253.35,237.9,252.15,250.9,17805319
234.7,248,228.4,246.4,246.7,15847309
236.3,239.8,232.85,233.95,234.4,2923051
240.7,244,234.65,236.3,236.15,7726311
225.8,241.6,225.3,239.85,240.45,11299727
226,228,222.55,225.4,224.5,3299527
235,235.5,221.3,225,225,5306883
224.9,236.9,224,234.45,234.7,6994467
227,227.9,224.35,225.5,225.3,1920643
227.9,231.25,223.4,226.95,226.35,7866167
226.95,231.4,226.35,228,227.8,3608627
226.95,228.25,223.15,227.5,226.95,5175219
225,230.25,222.5,226.5,226.8,13953152
211.3,221.8,209.75,221.7,220.5,8891566
